iata,latitude,longitude
ARM,-30.5281,151.617
BEO,-33.0667,151.648
BHQ,-32.0014,141.472
BHS,-33.4094,149.652
BNK,-28.8339,153.562
BRK,-30.0392,145.952
BWQ,-29.9739,146.817
BWU,-33.9244,150.988
BZD,-34.6236,143.578
CAZ,-31.5383,145.794
CBX,-33.0644,147.209
CDU,-34.0403,150.687
CES,-32.7875,151.342
CFS,-30.3206,153.116
CLH,-31.7733,149.61
CMD,-34.6239,148.028
CNB,-30.9833,148.376
COJ,-31.3325,149.267
CRB,-29.5217,148.582
CSI,-28.8828,153.067
CUG,-33.2783,148.763
CWT,-33.8447,148.649
CWW,-35.9947,146.357
DBO,-32.2167,148.575
DGE,-32.5625,149.611
DNQ,-35.5594,144.946
EVH,-29.0933,153.42
FLY,-35.6667,145.55
FOT,-32.2042,152.479
FRB,-33.3636,147.935
GFE,-34.0,148.133
GFF,-34.2508,146.067
GFN,-29.7594,153.03
GLI,-29.675,151.689
GOS,-33.3678,151.3
GUH,-30.9611,150.251
GUL,-34.8103,149.726
HXX,-34.5314,144.83
IVR,-29.8883,151.144
KPS,-31.0744,152.77
LBH,-33.5871,151.323
LDH,-31.5383,159.077
LHG,-29.4567,147.984
LSY,-28.8303,153.26
MIM,-36.9086,149.901
MRZ,-29.4989,149.845
MTL,-32.7013,151.493
MVH,-30.7,152.917
MYA,-35.8978,150.144
NAA,-30.3192,149.827
NBH,-30.65,153.0
NGA,-34.2556,148.248
NOA,-34.9489,150.537
NRA,-34.7022,146.512
NSO,-32.0372,150.832
NTL,-32.795,151.834
NYN,-31.5511,147.203
OAG,-33.3817,149.133
OOM,-36.3006,148.974
PKE,-33.1314,148.239
PQQ,-31.4358,152.863
RSE,-33.869,151.262
SIX,-32.6008,151.193
SYD,-33.9461,151.177
TCW,-35.8117,145.608
TEM,-34.4214,147.512
TMW,-31.0839,150.847
TRO,-31.8886,152.514
TUM,-35.2628,148.241
TYB,-29.4511,142.058
UIR,-31.4906,150.514
WAU,-20.6406,134.215
WEW,-30.2583,149.408
WGA,-35.1653,147.466
WGE,-30.0328,148.126
WIO,-31.5264,143.375
WLC,-31.0,151.567
WOL,-34.5611,150.789
WWY,-33.9372,147.191
XRH,-33.6006,150.781
AMX,-21.7383,135.242
ANZ,-25.0325,132.275
ASP,-23.8067,133.902
AVG,-15.7,130.0
AWP,-20.5,137.75
AXL,-19.0602,136.71
AYD,-19.2908,136.079
AYL,-18.0181,135.535
AYQ,-25.1861,130.976
BCZ,-13.7808,136.202
BOX,-16.0753,136.302
BRT,-11.7692,130.62
BTD,-18.64,135.938
BYX,-13.1981,136.227
CDA,-12.9033,132.532
CFI,-17.0217,131.327
CKI,-11.165,132.483
COB,-15.5483,130.962
CSD,-17.948,135.916
CTR,-17.607,131.549
DKV,-24.86,129.07
DLV,-12.55,130.685
DRW,-12.4147,130.877
DVR,-13.7498,130.694
DYW,-16.2647,133.383
EDD,-25.2058,133.254
EKD,-21.1725,135.444
ELC,-12.0194,135.571
EVD,-18.001,134.863
FIK,-25.5947,134.583
GBL,-11.65,133.382
GOV,-12.2694,136.818
GPN,-11.4025,130.422
GTE,-13.975,136.46
GTS,-26.9483,133.607
HMG,-23.93,132.805
HOK,-18.3367,130.638
HRY,-24.584,133.236
HUB,-16.4897,130.63
IVW,-17.8411,129.643
JAB,-12.6583,132.893
KBB,-17.7792,129.21
KBJ,-24.26,131.49
KCS,-24.4233,131.835
KFG,-17.4319,130.808
KGR,-25.8428,133.292
KRD,-20.51,134.671
KTR,-14.5211,132.378
LEL,-12.4989,135.806
LIB,-17.2356,129.882
LNH,-20.9807,137.918
MCV,-16.4425,136.084
MFP,-22.1,137.983
MGT,-12.0944,134.894
MIY,-18.8093,137.081
MIZ,-14.0533,134.094
MKV,-25.9667,133.2
MNG,-12.0561,134.234
MNV,-14.1167,133.833
MNW,-22.444,135.199
MQE,-22.8058,137.251
MRT,-14.8181,133.701
MSF,-22.6247,135.035
MTD,-16.9783,130.555
MUP,-25.86,131.65
NPP,-22.5312,133.763
NRY,-16.0442,129.264
NUB,-14.2717,135.717
PEP,-14.1442,130.091
PKT,-14.25,129.529
RAM,-12.3564,134.898
RDA,-18.9533,135.201
RPB,-14.7348,134.525
RPM,-14.7228,134.747
RPV,-14.9215,134.05
RRV,-16.7183,136.945
SHU,-11.15,132.15
SNB,-11.4228,130.654
TBK,-15.62,130.445
TCA,-19.6344,134.183
TYP,-22.2558,137.953
UTD,-15.8074,134.146
VCD,-16.4021,131.005
WAV,-17.3933,131.118
WLL,-17.2199,137.935
WLO,-16.63,129.32
YUE,-22.2542,131.782
AAB,-26.693,141.048
ABG,-17.6167,143.167
ABH,-23.6461,146.584
ABM,-10.9508,142.459
AGW,-12.1456,142.149
AUD,-18.515,139.878
AUU,-13.3541,141.721
AXC,-22.9667,145.242
AYR,-19.5844,147.329
BBL,-27.4056,141.809
BCI,-23.5653,145.307
BCK,-17.3883,144.169
BDB,-24.9039,152.319
BDD,-10.15,142.173
BEU,-24.3461,139.46
BFC,-15.8736,145.33
BHT,-23.3639,141.563
BIP,-16.8808,143.479
BKP,-20.4958,138.475
BKQ,-24.4278,145.429
BLS,-28.0583,147.483
BLT,-23.6031,148.807
BMP,-20.8033,149.27
BNE,-27.3842,153.117
BQL,-22.9133,139.9
BTX,-25.6417,140.783
BUC,-17.7486,139.534
BVI,-25.8975,139.348
BVW,-12.6592,142.675
BZP,-14.7403,144.119
CBY,-19.4794,140.927
CCL,-26.775,150.617
CDQ,-18.225,142.258
CFP,-18.7167,144.317
CMA,-28.03,145.622
CML,-19.9117,138.125
CMQ,-22.7731,147.621
CNC,-10.05,143.07
CNJ,-20.6686,140.504
CNS,-16.8858,145.755
CQP,-14.9708,145.312
CRH,-28.4301,152.089
CTL,-26.4133,146.262
CTN,-15.4447,145.184
CUD,-26.8,153.1
CUQ,-13.7611,143.113
CXT,-20.0431,146.273
CZY,-24.5167,139.617
DBY,-27.1553,151.267
DDN,-16.9917,141.317
DFP,-16.053,143.012
DHD,-27.075,141.9
DKI,-17.9417,146.14
DMD,-17.9403,138.822
DNB,-16.05,142.4
DRD,-16.5537,141.824
DRN,-28.5917,148.217
DRR,-25.685,140.228
DVP,-24.15,141.108
DXD,-15.1175,143.316
DYA,-22.6222,148.364
DYM,-23.7617,141.145
EDR,-14.8965,141.609
EIH,-18.5033,144.094
EMD,-23.5675,148.179
ERQ,-20.9764,141.007
GAH,-25.6144,151.619
GBP,-16.55,143.667
GGD,-18.625,139.233
GIC,-9.23278,142.218
GKL,-23.1833,150.942
GLG,-24.8083,139.6
GLM,-22.8883,138.825
GLT,-23.8697,151.223
GOO,-28.5214,150.32
GPD,-19.7726,139.404
GTT,-18.305,143.53
GVP,-18.9966,145.014
GYP,-26.2828,152.702
HAT,-11.7369,142.577
HGD,-20.815,144.225
HID,-10.5864,142.29
HIG,-16.4244,143.146
HIP,-21.3333,138.283
HLV,-15.6858,145.215
HPE,-15.2923,145.104
HTI,-20.3581,148.952
HVB,-25.3189,152.88
IFF,-18.9,141.217
IFL,-17.5594,146.012
IGH,-18.6606,146.152
IKP,-16.275,141.442
INJ,-25.851,148.55
IRG,-12.7869,143.305
ISA,-20.6639,139.489
ISI,-24.2583,144.425
JCK,-20.6683,141.723
JUN,-24.8417,143.058
KCE,-20.5967,147.86
KDS,-24.3388,139.279
KGY,-26.5808,151.841
KKP,-15.3189,143.955
KML,-19.375,140.057
KOH,-15.8886,142.439
KPP,-14.89,144.22
KRB,-17.4567,140.83
KSV,-23.55,140.7
KUG,-10.225,142.218
KWM,-15.4856,141.751
LDC,-20.4536,149.04
LFP,-14.9207,144.203
LKD,-15.8333,144.85
LLG,-17.1428,144.529
LLP,-23.0167,138.7
LOA,-18.9933,139.907
LRE,-23.4342,144.28
LTP,-19.1958,144.371
LTV,-17.0483,141.376
LUT,-15.1833,144.367
LUU,-15.55,144.45
LWH,-18.5683,138.635
LYT,-24.1129,152.716
LZR,-14.6733,145.455
MBH,-25.5133,152.715
MCY,-26.6033,153.091
MET,-12.4442,142.638
MFL,-19.67,144.885
MKY,-21.1717,149.18
MLV,-13.0649,142.454
MMM,-22.8025,148.705
MNQ,-24.8858,151.1
MOV,-22.0578,148.077
MRG,-17.0692,145.419
MRL,46.3834,-82.6331
MTQ,-26.4833,147.937
MVU,-14.7757,143.505
MWY,-17.3289,141.886
MXD,-23.3637,139.65
MYI,-9.91667,144.055
NLF,-9.58333,143.767
NMP,-19.2,145.773
NMR,-27.5583,141.133
NSV,-26.4233,153.063
NTN,-17.6841,141.07
OBA,56.4657,-5.3977
OKB,-24.9594,153.315
OKR,-9.7528,143.406
OKY,-27.4114,151.735
ONG,-16.6625,139.178
ONR,-24.8167,140.533
OOL,-28.1644,153.505
OOR,-25.25,140.983
OPI,-12.325,133.006
ORS,-18.634,146.5
OSO,-22.0817,140.555
OXO,-28.0598,141.536
OXY,-25.3583,141.433
PHQ,-21.8111,139.924
PMK,-18.7553,146.581
PPP,-20.495,148.552
RCM,-20.7019,143.115
RKY,-13.6434,142.641
RLP,-18.4253,144.459
RMA,-26.545,148.775
ROH,-18.845,143.71
ROK,-23.3819,150.475
RSB,-25.8333,139.65
RTP,-15.6433,141.843
SBR,-9.37833,142.625
SCG,-18.6333,144.567
SGO,-28.0497,148.595
SHQ,-27.9221,153.372
SNH,-28.6203,151.991
SRM,-24.0568,139.082
SRR,-27.5167,153.428
SSP,-13.9754,143.554
STF,-9.51,143.55
STH,-17.85,142.567
SVM,-10.3667,142.117
SYU,-10.2083,142.825
TAN,-27.13,153.363
TDR,-24.9933,150.093
THG,-24.4939,150.576
TQP,-21.835,140.888
TSV,-19.2525,146.765
TWB,-27.5428,151.916
TWN,-26.388,153.028
TWP,-17.3633,143.75
TXR,-25.8478,141.928
TYG,-26.0833,143.467
UBB,-9.95,142.183
UDA,-18.2,144.6
ULP,-26.6122,144.253
UTB,-22.5833,144.533
VNR,-16.9633,141.95
WAN,-25.3563,141.925
WAZ,-28.1494,151.943
WDI,-26.2833,151.858
WEI,-12.6786,141.925
WIN,-22.3636,143.086
WLE,-26.8083,150.175
WNR,-25.4131,142.667
WON,-18.575,140.892
WPK,-16.6583,144.002
WSY,-20.2761,148.755
WTB,-27.5583,151.793
XMY,-9.90111,142.776
XTG,-27.9864,143.811
XTO,-25.8017,149.9
XTR,-27.1567,150.477
ZBL,-24.4,150.51
ZBO,-20.0183,148.215
ZGL,-25.6833,142.108
ADL,-34.945,138.531
ADO,-30.4383,137.137
AMT,-26.1083,131.207
AWN,-26.5333,139.267
CCW,-33.6667,136.892
CED,-32.1306,133.71
CFH,-27.0183,138.892
CPD,-29.04,134.721
CRJ,-31.8944,132.296
CVC,-33.7097,136.505
CWR,-27.7117,138.328
DLK,-29.0133,138.481
ERB,-26.2633,132.182
ETD,-28.7408,138.589
GSN,-31.4597,137.174
HWK,-31.8559,138.468
IDK,-26.9667,133.325
INM,-27.7,140.733
KBY,-32.8358,134.293
KGC,-35.7139,137.521
KYI,-31.4706,131.825
LCN,-30.535,139.337
LGH,-30.5983,138.426
LOC,-33.5442,135.693
MGB,-37.7456,140.785
MIN,-32.8433,135.145
MLR,-37.5836,140.366
MNE,-28.0092,138.657
MOO,-28.0994,140.197
MRP,-27.3333,133.627
MVK,-28.3478,138.65
MWT,-29.9069,139.765
NAC,-36.9853,140.725
NUR,-31.4417,130.902
ODD,-27.5617,135.447
ODL,-26.7453,140.638
OLP,-30.485,136.877
ORR,-35.0,137.617
PDE,-26.1167,139.4
PDN,-35.807,137.264
PEA,-35.7558,137.963
PEY,-31.9167,133.0
PLO,-34.6053,135.88
PPI,-33.2389,137.995
PUG,-32.5069,137.717
PXH,-29.716,135.524
RCN,-35.7574,137.776
RMK,-34.1964,140.674
RRE,-29.6633,138.065
RTY,-28.5833,140.317
TAQ,-30.7033,134.584
UMR,-31.1442,136.817
WUD,-33.0433,135.447
WYA,-33.0589,137.514
XML,-34.75,137.533
BWT,-40.9989,145.731
CBI,-40.3917,148.017
DPO,-41.1697,146.43
FLS,-40.0917,147.993
GEE,-41.08,146.84
HBA,-42.8361,147.51
HLS,-41.3367,148.282
KNS,-39.8775,143.878
LST,-41.5453,147.214
LTB,-41.2352,146.396
SIO,-40.835,145.084
SRN,-42.155,145.292
UEE,-42.075,145.532
ARY,-37.3094,142.989
AVV,-38.0394,144.469
BLN,-36.5519,146.007
BRJ,-36.733,146.967
BSJ,-37.8875,147.568
BXG,-36.7394,144.33
CYG,-36.1828,147.888
ECH,-36.1572,144.762
GEX,-38.225,144.333
HLT,-37.6489,142.065
HSM,-36.6697,142.173
HTU,-35.7153,142.36
KRA,-35.7514,143.939
MBF,-36.7187,146.89
MBW,-37.9758,145.102
MEB,-37.7281,144.902
MEL,-37.6733,144.843
MHU,-37.0475,147.334
MQL,-34.2292,142.086
OYN,-35.089,142.354
PTJ,-38.3181,141.471
RBC,-34.65,142.783
RBS,-37.79,148.61
SHT,-36.4289,145.393
SWC,-37.0717,142.741
SWH,-35.3758,143.533
SXE,-38.0908,146.965
TGN,-38.2072,146.47
WGT,-36.4158,146.307
WHL,-38.6824,146.445
WKB,-36.3211,142.419
WMB,-38.2953,142.447
XCO,-38.2867,143.68
XMC,-37.5983,149.72
ALH,-34.9433,117.809
BDW,-17.2867,127.463
BEE,-17.0165,122.646
BIW,-19.5667,127.667
BME,-17.9447,122.232
BQB,-33.6884,115.402
BQW,-20.1483,127.973
BUY,-33.3783,115.677
BVZ,-16.7333,125.433
BWB,-20.8644,115.406
BXF,-17.545,128.305
BYP,-22.6739,119.166
CBC,-18.9178,125.538
CGV,-32.265,125.493
CIE,-33.3667,116.217
CJF,-22.9667,118.813
CKW,-22.3543,119.643
COY,-21.7946,117.755
CRY,-15.5019,128.534
CUY,-27.4467,117.918
CVQ,-24.8802,113.672
CXQ,-22.3567,119.652
DCN,-17.5814,123.828
DGD,-27.8303,117.316
DNG,-15.3864,126.302
DNM,-25.8882,113.577
DOX,-29.2981,114.927
DRB,-17.37,123.661
DRY,-15.7136,126.381
ENB,-29.8325,115.246
EPR,-33.6844,121.823
EUC,-31.7,128.883
EXM,-22.0333,114.1
FIZ,-18.1819,125.559
FOS,-30.8381,128.115
FSL,-18.1321,125.787
FVL,-18.2833,128.417
FVR,-15.1647,127.84
GBV,-16.4233,126.445
GBW,-22.5812,120.036
GDD,-18.6781,128.592
GET,-28.7961,114.707
GLY,-20.333,119.5
GSC,-25.0546,115.203
GYL,-16.6369,128.451
HCQ,-18.2339,127.67
HLL,-21.7244,119.392
JAD,-32.0975,115.881
JUR,-30.3016,115.056
KAX,-27.6928,114.259
KBD,-17.3978,124.355
KDB,-31.1907,121.598
KFE,-22.2908,119.437
KGI,-30.7894,121.462
KNI,-33.7167,117.633
KNX,-15.7781,128.708
KQR,-29.2167,116.687
KTA,-20.7122,116.773
KYF,-27.2771,120.096
LDW,-17.6128,126.743
LEA,-22.2356,114.089
LER,-27.8433,120.703
LGE,-20.1089,127.619
LLL,-16.661,128.594
LNO,-28.8781,121.315
LVO,-28.6136,122.424
MBB,-21.1633,119.833
MBN,-16.6573,125.961
MGV,-18.6217,126.883
MHO,-17.055,125.71
MIH,-14.7914,125.824
MJK,-25.8939,113.577
MJP,-34.2653,116.14
MKR,-26.6117,118.548
MMG,-28.1161,117.842
MQA,-19.7383,120.838
MQZ,-33.9306,115.1
MUQ,-20.6589,120.067
MWB,-29.2017,116.022
MXU,-28.475,115.517
MYO,-18.1247,124.272
NDS,-27.98,119.297
NIF,-21.6717,121.587
NKB,-18.4947,124.852
NLL,-21.9133,120.198
NLS,-18.05,128.9
NRG,-32.93,117.08
NSM,-32.21,121.755
OCM,-22.54,117.275
ODR,-17.3408,128.912
ONS,-21.6683,115.113
PBO,-23.1711,117.745
PER,-31.9403,115.967
PHE,-20.3778,118.626
PRD,-20.1175,119.59
RBU,-20.7617,117.157
RHL,-22.6258,119.959
RTS,-32.0067,115.54
RVT,-33.7972,120.208
,-32.394167,115.872222
SGP,-20.4247,120.141
SLJ,-22.2554,117.763
SQC,-31.24,119.36
SSK,-19.1664,128.174
SWB,-21.5103,119.362
TBL,-17.2833,126.9
TDN,-14.7881,126.496
TEF,-21.715,122.229
TKY,-17.0408,128.206
TPR,-22.746,117.869
TTX,-14.0897,126.381
UBU,-14.2883,126.632
USL,-26.1667,113.4
WIT,-22.2183,118.348
WLA,-19.7736,120.649
WLP,-23.1356,118.707
WME,-27.2864,120.555
WND,-28.475,122.242
WRN,-30.0317,119.39
WRW,-20.8442,120.702
WUI,-28.7053,121.891
WUN,-26.6292,120.221
WWI,-21.6628,121.234
WYN,-15.5114,128.153
YLG,-28.3553,116.684
YNN,59.4875,-97.7803
ZNE,-23.4178,119.803
ZVG,-17.7869,127.67
AUA,12.5014,-70.0152
GYD,40.4675,50.0467
FZL,39.5955,47.1973
GNJ,40.7377,46.3176
LLK,38.7464,48.818
NAJ,39.1888,45.4584
GBB,40.8267,47.7125
YLV,40.6319,47.1419
ZTU,41.5622,46.6672
OMO,43.2829,17.8459
SJJ,43.8246,18.3315
TZL,44.4587,18.7248
BNX,44.9414,17.2975
BGI,13.0746,-59.4925
BZL,22.801,90.3012
CGP,22.2496,91.8133
CLA,23.4372,91.1897
CXB,21.4522,91.9639
DAC,23.8433,90.3978
JSR,23.1838,89.1608
IRD,24.1525,89.0494
RJH,24.4372,88.6165
SPD,25.7592,88.9089
TKR,26.0164,88.4036
ZHM,24.417,91.883
ZYL,24.9632,91.8668
ANR,51.1894,4.46028
OBL,51.2647,4.75333
BRU,50.9014,4.48444
CRL,50.4592,4.45382
LGG,50.6374,5.44322
KJK,50.8172,3.20472
OST,51.1989,2.86222
XDE,10.95,-3.25
TEG,11.8,-0.367
XZA,11.167,-0.617
BNR,10.683,-4.717
XBG,12.983,-0.167
FNG,12.033,0.35
BOY,11.1601,-4.33097
OUA,12.3532,-1.51242
XPA,11.25,0.7
XNU,12.75,-3.867
DGU,12.459,-3.49
PUP,11.15,-1.15
XBO,12.65,-0.567
TMQ,14.8,0.05
XGG,14.45,-0.233
XGA,10.3841,-3.16345
XKY,13.067,-1.1
DOR,14.033,-0.033
XLU,11.1,-2.1
XAR,14.217,-0.883
XDJ,14.1,-1.633
TUQ,13.067,-3.067
ARL,11.597,1.483
DIP,12.0603,1.78463
XKA,12.467,1.5
XSE,13.45,0.517
OUG,13.567,-2.417
BOJ,42.5696,27.5152
HKV,41.8718,25.6048
PDV,42.0678,24.8508
ROU,43.6948,26.0567
SLS,44.0552,27.1788
SOF,42.6967,23.4114
SZR,42.3767,25.655
TGV,43.3066,26.7009
VAR,43.2321,27.8251
GOZ,43.1514,25.7129
JAM,42.4549,26.3522
BAH,26.2708,50.6336
BJM,-3.32402,29.3185
GID,-3.41721,29.9113
KRE,-2.54477,30.0946
KDC,11.1448,2.94038
NAE,10.377,1.36051
PKO,9.35769,2.60968
SVF,8.01817,2.46458
DJA,9.69208,1.63778
COO,6.35723,2.38435
SBH,17.9044,-62.8436
BDA,32.364,-64.6787
BWN,4.9442,114.928
MHW,-19.827,-63.961
SRE,-19.2468,-65.1496
SRJ,-14.8592,-66.7375
CBB,-17.4211,-66.1771
CCA,-16.9889,-65.1417
BVK,-13.55,-63.7479
BVL,-13.5833,-63.5833
GYA,-10.8206,-65.3456
MGD,-13.2607,-64.0608
RBQ,-14.4279,-67.4968
REY,-14.3044,-67.3534
RIB,-11.0,-66.0
SBL,-13.7622,-65.4352
SJB,-13.0528,-64.6617
SNM,-14.9658,-65.6338
SRB,-14.0662,-66.7868
SRD,-13.2639,-64.6039
TDD,-14.8187,-64.918
APB,-14.7356,-68.4119
LPB,-16.5133,-68.1923
ORU,-17.9626,-67.0762
CIJ,-11.0404,-68.783
PUR,-11.1077,-67.5512
POI,-19.5433,-65.7237
UYU,-20.4463,-66.8484
ASC,-15.9303,-63.1567
CAM,-20.0064,-63.5278
CEP,-16.1383,-62.0286
MQK,-16.3392,-58.4019
PSZ,-18.9753,-57.8206
RBO,-18.3292,-59.765
SJS,-17.8308,-60.7431
SJV,-16.2708,-62.4703
SNG,-16.3836,-60.9628
SRZ,-17.8116,-63.1715
VAH,-18.4825,-64.0994
VVI,-17.6448,-63.1354
BJO,-22.7733,-64.3129
BYC,-21.9609,-63.6517
TJA,-21.5557,-64.7013
VLM,-21.2552,-63.4056
BON,12.131,-68.2685
SAB,17.645,-63.22
EUX,17.4965,-62.9794
CZS,-7.59991,-72.7695
FEJ,-8.14083,-70.3472
RBR,-9.86889,-67.8981
TRQ,-8.15526,-70.7833
ZMD,-9.116,-68.6108
APQ,-9.77536,-36.6292
MCZ,-9.51081,-35.7917
MCP,0.050664,-51.0722
OYK,3.85549,-51.7969
BAZ,-0.981292,-62.9196
BCR,-8.83456,-67.3124
CAF,-4.87152,-66.8975
CIZ,-4.13406,-63.1326
ERN,-6.63953,-69.8798
FBA,-2.53261,-66.0832
HUW,-7.53212,-63.0721
IPG,-2.93907,-69.694
IRZ,-0.3786,-64.9923
ITA,-3.12726,-58.4812
LBR,-7.27897,-64.7695
MAO,-3.03861,-60.0497
MBZ,-3.37217,-57.7248
MNX,-5.81138,-61.2783
NVP,-5.11803,-60.3649
OLC,-3.46793,-68.9204
PIN,-2.67302,-56.7772
PLL,-3.14604,-59.9863
RBB,-4.40634,-59.6024
SJL,-0.14835,-66.9855
TBT,-4.25567,-69.9358
